cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
Ului,s,2010.213698630137,Rebe Reef,19209100104,2009,2011,0.001787489817370611,0.0,0.009120251117217698,0.0010515016750246458,0.004696199234415804,0.0004770630158254041,0.015174041896027727,0.010204652571335465,0.04275589759516358,0.00960479876293793
Hamish,s,2009.1808219178083,Reef 19-131,19131101104,2009,2011,0.03698581357181105,0.031759114103593715,0.12578709399910798,0.13449462881514287,0.020767275782465393,0.02515024442727496,0.18890359148382013,0.16537112669210158,0.03845736452379913,0.035129369181547215
Debbie,s,2017.2356164383561,Reef 19-131,19131101104,2017,2019,0.0674239167361475,0.02140766731615542,0.19399894319712424,0.12746554972853338,0.03675630442755756,0.03240991557334087,0.17927855198412154,0.17515498718060257,0.04377578771881469,0.03247428036714497
Ului,s,2010.213698630137,Reef 19-138,19138100104,2009,2011,0.06422387378979189,0.015215972628723992,0.11544919965968414,0.08336755795401057,0.03452290500852241,0.024262584846306137,0.08100106222634632,0.08906324162261717,0.0355722658119512,0.042342534532734455
Debbie,s,2017.2356164383561,Reef 19-138,19138100104,2017,2019,0.06873360837893892,0.013231874757782987,0.1560003315681588,0.10477914836886798,0.08557731393961543,0.04450613555241899,0.11327057372892908,0.10538748908528899,0.04059474721218234,0.0345370913683354
Hamish,s,2009.1808219178083,Reef 20-104,20104100104,2009,2011,0.01189465555851566,0.005859415026401381,0.11408644528343963,0.0922582530485393,0.024723398721075585,0.012306125676952787,0.08382884160699738,0.08559612601728876,0.0340918488110393,0.04591500171790267
unknown,s,2011.0,Reef 20-104,20104100104,2011,2013,0.005859415026401381,0.024319557884054203,0.0922582530485393,0.1190755326311139,0.012306125676952787,0.03325151054449889,0.08559612601728876,0.08937402804469957,0.04591500171790267,0.04675462299339201
Debbie,s,2017.2356164383561,Reef 20-104,20104100104,2017,2021,0.0963958302409089,0.050344586003090316,0.2135244214716352,0.16208470536045677,0.0677579778108882,0.0593663533427561,0.10279659411165565,0.10509650028821405,0.05148377714440837,0.04408648311266325
Hamish,s,2009.1808219178083,Reef 20-348,20348100104,2008,2010,0.018455437492757923,0.007932961644062623,0.03139801981938589,0.013762546372361628,0.005918707691182469,0.008616401213264705,0.06899912916250797,0.055436738850203185,0.020153126322337594,0.01795445775264998
Hamish,s,2009.1808219178083,Reef 20-353,20353100104,2008,2010,0.031824722631832766,0.001226056387527459,0.12934483717692935,0.029662131544468964,0.0319218259177991,0.003685190570646805,0.11471372549512722,0.02702969743443408,0.0249867326196771,0.027538896615859138
